Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
UNSW Falcon,90002,2018-12-11T11:57:00Z,2018-12-11T11:58:00Z,2018-12-11T11:57:00Z,2018-12-11T11:57:00Z,1288,18
Perth Falcon,90002,2018-12-11T13:29:00Z,2018-12-11T13:32:00Z,2018-12-11T13:32:00Z,2018-12-11T13:32:00Z,644,52
UNSW Falcon,90002,2018-12-12T11:35:00Z,2018-12-12T11:39:00Z,2018-12-12T11:37:00Z,2018-12-12T11:37:00Z,889,32
Perth Falcon,90002,2018-12-12T13:10:00Z,2018-12-12T13:13:00Z,2018-12-12T13:13:00Z,2018-12-12T13:13:00Z,577,63
UNSW Falcon,90002,2018-12-13T11:15:00Z,2018-12-13T11:20:00Z,2018-12-13T11:19:00Z,2018-12-13T11:19:00Z,600,58
Perth Falcon,90002,2018-12-13T12:52:00Z,2018-12-13T12:54:00Z,2018-12-13T12:54:00Z,2018-12-13T12:54:00Z,823,36
UNSW Falcon,90002,2018-12-14T10:57:00Z,2018-12-14T11:01:00Z,2018-12-14T11:00:00Z,2018-12-14T11:00:00Z,557,67
Perth Falcon,90002,2018-12-14T12:33:00Z,2018-12-14T12:35:00Z,2018-12-14T12:35:00Z,2018-12-14T12:35:00Z,1203,21
Perth Falcon,90002,2018-12-14T14:07:00Z,2018-12-14T14:09:00Z,2018-12-14T14:09:00Z,2018-12-14T14:09:00Z,1332,17
UNSW Falcon,90002,2018-12-15T10:38:00Z,2018-12-15T10:41:00Z,2018-12-15T10:41:00Z,2018-12-15T10:41:00Z,817,36
UNSW Falcon,90002,2018-12-15T12:13:00Z,2018-12-15T12:15:00Z,2018-12-15T12:14:00Z,2018-12-15T12:14:00Z,1611,12
Perth Falcon,90002,2018-12-15T12:16:00Z,2018-12-15T12:16:00Z,2018-12-15T12:16:00Z,2018-12-15T12:16:00Z,1626,12
Perth Falcon,90002,2018-12-15T13:48:00Z,2018-12-15T13:50:00Z,2018-12-15T13:50:00Z,2018-12-15T13:50:00Z,959,29
UNSW Falcon,90002,2018-12-16T10:20:00Z,2018-12-16T10:22:00Z,2018-12-16T10:22:00Z,2018-12-16T10:22:00Z,1198,21
UNSW Falcon,90002,2018-12-16T11:53:00Z,2018-12-16T11:57:00Z,2018-12-16T11:56:00Z,2018-12-16T11:56:00Z,1229,20
Perth Falcon,90002,2018-12-16T13:29:00Z,2018-12-16T13:32:00Z,2018-12-16T13:32:00Z,2018-12-16T13:32:00Z,619,55
UNSW Falcon,90002,2018-12-17T11:34:00Z,2018-12-17T11:38:00Z,2018-12-17T11:37:00Z,2018-12-17T11:37:00Z,849,35
Perth Falcon,90002,2018-12-17T13:10:00Z,2018-12-17T13:13:00Z,2018-12-17T13:13:00Z,2018-12-17T13:13:00Z,537,73
UNSW Falcon,90002,2018-12-18T11:15:00Z,2018-12-18T11:18:00Z,2018-12-18T11:18:00Z,2018-12-18T11:18:00Z,566,65
Perth Falcon,90002,2018-12-18T12:51:00Z,2018-12-18T12:54:00Z,2018-12-18T12:54:00Z,2018-12-18T12:54:00Z,795,38
Perth Falcon,90002,2018-12-18T14:27:00Z,2018-12-18T14:27:00Z,2018-12-18T14:27:00Z,2018-12-18T14:27:00Z,1720,10
UNSW Falcon,90002,2018-12-19T10:56:00Z,2018-12-19T10:59:00Z,2018-12-19T10:59:00Z,2018-12-19T10:59:00Z,562,66
Perth Falcon,90002,2018-12-19T12:33:00Z,2018-12-19T12:35:00Z,2018-12-19T12:35:00Z,2018-12-19T12:35:00Z,1188,21
Perth Falcon,90002,2018-12-19T14:07:00Z,2018-12-19T14:09:00Z,2018-12-19T14:09:00Z,2018-12-19T14:09:00Z,1310,18
UNSW Falcon,90002,2018-12-20T10:37:00Z,2018-12-20T10:41:00Z,2018-12-20T10:40:00Z,2018-12-20T10:40:00Z,843,35
UNSW Falcon,90002,2018-12-20T12:12:00Z,2018-12-20T12:15:00Z,2018-12-20T12:14:00Z,2018-12-20T12:14:00Z,1589,12
Perth Falcon,90002,2018-12-20T12:15:00Z,2018-12-20T12:16:00Z,2018-12-20T12:16:00Z,2018-12-20T12:16:00Z,1622,12
Perth Falcon,90002,2018-12-20T13:47:00Z,2018-12-20T13:50:00Z,2018-12-20T13:50:00Z,2018-12-20T13:50:00Z,908,31
UNSW Falcon,90002,2018-12-21T10:19:00Z,2018-12-21T10:22:00Z,2018-12-21T10:21:00Z,2018-12-21T10:21:00Z,1229,20
UNSW Falcon,90002,2018-12-21T11:53:00Z,2018-12-21T11:57:00Z,2018-12-21T11:55:00Z,2018-12-21T11:55:00Z,1191,21
Perth Falcon,90002,2018-12-21T13:28:00Z,2018-12-21T13:31:00Z,2018-12-21T13:31:00Z,2018-12-21T13:31:00Z,593,59
UNSW Falcon,90002,2018-12-22T11:33:00Z,2018-12-22T11:38:00Z,2018-12-22T11:36:00Z,2018-12-22T11:36:00Z,826,36
Perth Falcon,90002,2018-12-22T13:09:00Z,2018-12-22T13:12:00Z,2018-12-22T13:12:00Z,2018-12-22T13:12:00Z,552,68
UNSW Falcon,90002,2018-12-23T11:14:00Z,2018-12-23T11:19:00Z,2018-12-23T11:17:00Z,2018-12-23T11:17:00Z,576,63
Perth Falcon,90002,2018-12-23T12:50:00Z,2018-12-23T12:53:00Z,2018-12-23T12:53:00Z,2018-12-23T12:53:00Z,830,35
Perth Falcon,90002,2018-12-23T14:26:00Z,2018-12-23T14:27:00Z,2018-12-23T14:27:00Z,2018-12-23T14:27:00Z,1692,11
UNSW Falcon,90002,2018-12-24T10:55:00Z,2018-12-24T10:59:00Z,2018-12-24T10:58:00Z,2018-12-24T10:58:00Z,609,57
Perth Falcon,90002,2018-12-24T12:32:00Z,2018-12-24T12:34:00Z,2018-12-24T12:34:00Z,2018-12-24T12:34:00Z,1227,20
Perth Falcon,90002,2018-12-24T14:06:00Z,2018-12-24T14:09:00Z,2018-12-24T14:08:00Z,2018-12-24T14:08:00Z,1275,19
UNSW Falcon,90002,2018-12-25T10:37:00Z,2018-12-25T10:40:00Z,2018-12-25T10:40:00Z,2018-12-25T10:40:00Z,878,33
UNSW Falcon,90002,2018-12-25T12:12:00Z,2018-12-25T12:14:00Z,2018-12-25T12:13:00Z,2018-12-25T12:13:00Z,1557,13
Perth Falcon,90002,2018-12-25T12:15:00Z,2018-12-25T12:15:00Z,2018-12-25T12:15:00Z,2018-12-25T12:15:00Z,1659,11
Perth Falcon,90002,2018-12-25T13:46:00Z,2018-12-25T13:50:00Z,2018-12-25T13:49:00Z,2018-12-25T13:49:00Z,890,32
UNSW Falcon,90002,2018-12-26T10:18:00Z,2018-12-26T10:21:00Z,2018-12-26T10:21:00Z,2018-12-26T10:21:00Z,1258,19
UNSW Falcon,90002,2018-12-26T11:52:00Z,2018-12-26T11:56:00Z,2018-12-26T11:54:00Z,2018-12-26T11:54:00Z,1173,22
Perth Falcon,90002,2018-12-26T13:27:00Z,2018-12-26T13:31:00Z,2018-12-26T13:30:00Z,2018-12-26T13:30:00Z,609,56
UNSW Falcon,90002,2018-12-27T11:33:00Z,2018-12-27T11:37:00Z,2018-12-27T11:36:00Z,2018-12-27T11:36:00Z,829,36
Perth Falcon,90002,2018-12-27T13:08:00Z,2018-12-27T13:12:00Z,2018-12-27T13:12:00Z,2018-12-27T13:12:00Z,581,61
UNSW Falcon,90002,2018-12-28T11:13:00Z,2018-12-28T11:18:00Z,2018-12-28T11:17:00Z,2018-12-28T11:17:00Z,560,66
Perth Falcon,90002,2018-12-28T12:50:00Z,2018-12-28T12:53:00Z,2018-12-28T12:53:00Z,2018-12-28T12:53:00Z,850,34
Perth Falcon,90002,2018-12-28T14:25:00Z,2018-12-28T14:27:00Z,2018-12-28T14:26:00Z,2018-12-28T14:26:00Z,1661,11
