Year (TT),Month (TT),Day (0h TT),MJD (0h TT),X [arcsec],Y [arcsec],s [arcsec]
1980,5,6,44365,-398.37879415741400,-8.55962716112800,-0.00978051955103
1980,5,7,44366,-398.30415456831300,-8.54387713710700,-0.00976692652164
1980,5,8,44367,-398.24320346041400,-8.51828302454300,-0.00974345456737
1980,5,9,44368,-398.19930165370000,-8.49129026514800,-0.00971821185902
1980,5,10,44369,-398.17155133362200,-8.47288763747700,-0.00970092871000
1980,5,11,44370,-398.15413157617400,-8.47201903780900,-0.00970042957967
1980,5,12,44371,-398.13720934354400,-8.49351474939000,-0.00972160381463
1980,5,13,44372,-398.10972539069700,-8.53579618697600,-0.00976311649732
1980,5,14,44373,-398.06327272466800,-8.59082048785100,-0.00981730675137
1980,5,15,44374,-397.99523305491000,-8.64678220440400,-0.00987278470740
1980,5,16,44375,-397.90946036832400,-8.69236616758700,-0.00991855157038
1980,5,17,44376,-397.81429968833000,-8.72034054175700,-0.00994749236941
1980,5,18,44377,-397.71932540002500,-8.72893986504300,-0.00995774083852
1980,5,19,44378,-397.63253887804300,-8.72106865458500,-0.00995194739493
1980,5,20,44379,-397.55892758027200,-8.70241889665800,-0.00993549782989
1980,5,21,44380,-397.50028660732400,-8.67959936997200,-0.00991472731228
1980,5,22,44381,-397.45574589407900,-8.65881513234100,-0.00989564131256
1980,5,23,44382,-397.42249572527300,-8.64513089680700,-0.00988318294696
1980,5,24,44383,-397.39644150278100,-8.64212416221100,-0.00988087522666
1980,5,25,44384,-397.37273062799300,-8.65171916644700,-0.00989064939694
1980,5,26,44385,-397.34621267779700,-8.67407118776100,-0.00991273527466
1980,5,27,44386,-397.31193071308900,-8.70747218768400,-0.00994557683185
1980,5,28,44387,-397.26571901176800,-8.74834711422100,-0.00998582756682
1980,5,29,44388,-397.20490777483400,-8.79147569131500,-0.01002854819329
1980,5,30,44389,-397.12902602804000,-8.83057468553400,-0.01006773907081
1980,5,31,44390,-397.04029000484100,-8.85929860291800,-0.01009727448558
1980,6,1,44391,-396.94361754243500,-8.87256431128000,-0.01011216239862
1980,6,2,44392,-396.84597410475200,-8.86791428718100,-0.01010986615186
1980,6,3,44393,-396.75504626214600,-8.84650595950700,-0.01009129393794
1980,6,4,44394,-396.67748071418900,-8.81334367133000,-0.01006107942742
1980,6,5,44395,-396.61711064540200,-8.77654423091100,-0.01002693495781
1980,6,6,44396,-396.57365692053500,-8.74566947039900,-0.00999808654450
1980,6,7,44397,-396.54234236746800,-8.72941185956800,-0.00998304661185
1980,6,8,44398,-396.51470950058900,-8.73315564566000,-0.00998722226461
1980,6,9,44399,-396.48066759581300,-8.75712852217000,-0.01001106290170
1980,6,10,44400,-396.43137070190500,-8.79591244463100,-0.01004951790325
1980,6,11,44401,-396.36202094634800,-8.83979517765500,-0.01009329694182
1980,6,12,44402,-396.27344221390200,-8.87770964686800,-0.01013169913438
1980,6,13,44403,-396.17166367119100,-8.90064951015100,-0.01015592933933
1980,6,14,44404,-396.06571682072700,-8.90412283732900,-0.01016149893094
1980,6,15,44405,-395.96473642827200,-8.88875576111200,-0.01014884532379
1980,6,16,44406,-395.87562085827900,-8.85918659139000,-0.01012230140340
1980,6,17,44407,-395.80193278015800,-8.82213120780600,-0.01008825700773
1980,6,18,44408,-395.74395816293300,-8.78454596023500,-0.01005339652239
1980,6,19,44409,-395.69942035575900,-8.75237804289600,-0.01002348323198
1980,6,20,44410,-395.66435910802800,-8.72993698712300,-0.01000273234081
1980,6,21,44411,-395.63389896203200,-8.71969347072800,-0.00999359970913
1980,6,22,44412,-395.60283469192300,-8.72227971186200,-0.00999677658195
1980,6,23,44413,-395.56609418108100,-8.73653072241500,-0.01001123249876
1980,6,24,44414,-395.51919874737900,-8.75951977870700,-0.01003425099477
1980,6,25,44415,-395.45882078167500,-8.78665985391700,-0.01006151716430
1980,6,26,44416,-395.38345559617600,-8.81201963887400,-0.01008739815415
1980,6,27,44417,-395.29410110366000,-8.82902511046300,-0.01010558936529
1980,6,28,44418,-395.19468510897800,-8.83165326412700,-0.01011024252042
1980,6,29,44419,-395.09186682289800,-8.81600834097500,-0.01009748082900
1980,6,30,44420,-394.99391847581100,-8.78184017117000,-0.01006688085343
1980,7,1,44421,-394.90874252636100,-8.73333294193000,-0.01002227161111
1980,7,2,44422,-394.84156128569100,-8.67859547472100,-0.00997129596392
1980,7,3,44423,-394.79313229959400,-8.62776180133000,-0.00992363395062
1980,7,4,44424,-394.75924747925000,-8.59023830302400,-0.00988838574428
1980,7,5,44425,-394.73177456841100,-8.57204066763900,-0.00987150380214
1980,7,6,44426,-394.70089040134200,-8.57411352710200,-0.00987412827862
1980,7,7,44427,-394.65777307742400,-8.59211610761200,-0.00989230703338
